dataset,val_uid,analysis_split,arm,level,requested_similarity,source_uid,similarity
aqua,aqua-validation-000000,test,retrieved,target_0.30,0.3,aqua-train-020831,0.2999999225139618
aqua,aqua-validation-000000,test,retrieved,target_0.50,0.5,aqua-train-058223,0.5000181198120117
aqua,aqua-validation-000000,test,retrieved,target_0.70,0.7,aqua-train-046559,0.7070861458778381
aqua,aqua-validation-000000,test,retrieved,top,,aqua-train-029712,0.7460883259773254
aqua,aqua-validation-000000,test,placebo,placebo,,aqua-train-013374,0.172318696975708
aqua,aqua-validation-000001,calibration,retrieved,target_0.30,0.3,aqua-train-051257,0.29999715089797974
aqua,aqua-validation-000001,calibration,retrieved,target_0.50,0.5,aqua-train-056580,0.4999981224536896
aqua,aqua-validation-000001,calibration,retrieved,target_0.70,0.7,aqua-train-007726,0.6488675475120544
aqua,aqua-validation-000001,calibration,retrieved,top,,aqua-train-034290,0.6584699749946594
aqua,aqua-validation-000001,calibration,placebo,placebo,,aqua-train-083667,0.08244269341230392
aqua,aqua-validation-000002,test,retrieved,target_0.30,0.3,aqua-train-023478,0.299999475479126
aqua,aqua-validation-000002,test,retrieved,target_0.50,0.5,aqua-train-044732,0.5000198483467102
aqua,aqua-validation-000002,test,retrieved,target_0.70,0.7,aqua-train-008045,0.7011856436729431
aqua,aqua-validation-000002,test,retrieved,top,,aqua-train-079664,0.7834774255752563
aqua,aqua-validation-000002,test,placebo,placebo,,aqua-train-025215,0.19984866678714752
aqua,aqua-validation-000003,calibration,retrieved,target_0.30,0.3,aqua-train-087164,0.30001193284988403
aqua,aqua-validation-000003,calibration,retrieved,target_0.50,0.5,aqua-train-020974,0.49997255206108093
aqua,aqua-validation-000003,calibration,retrieved,target_0.70,0.7,aqua-train-019678,0.6992068290710449
aqua,aqua-validation-000003,calibration,retrieved,top,,aqua-train-021714,0.7717718482017517
aqua,aqua-validation-000003,calibration,placebo,placebo,,aqua-train-064116,-0.0024949838407337666
aqua,aqua-validation-000004,test,retrieved,target_0.30,0.3,aqua-train-047221,0.30000028014183044
aqua,aqua-validation-000004,test,retrieved,target_0.50,0.5,aqua-train-033692,0.49993056058883667
aqua,aqua-validation-000004,test,retrieved,target_0.70,0.7,aqua-train-063763,0.6023858189582825
aqua,aqua-validation-000004,test,retrieved,top,,aqua-train-029461,0.6076700687408447
aqua,aqua-validation-000004,test,placebo,placebo,,aqua-train-079346,0.13467219471931458
aqua,aqua-validation-000005,calibration,retrieved,target_0.30,0.3,aqua-train-029171,0.30000030994415283
aqua,aqua-validation-000005,calibration,retrieved,target_0.50,0.5,aqua-train-006792,0.4999702572822571
aqua,aqua-validation-000005,calibration,retrieved,target_0.70,0.7,aqua-train-030859,0.7023617625236511
aqua,aqua-validation-000005,calibration,retrieved,top,,aqua-train-095307,0.7703220248222351
aqua,aqua-validation-000005,calibration,placebo,placebo,,aqua-train-017295,0.12101635336875916
aqua,aqua-validation-000006,test,retrieved,target_0.30,0.3,aqua-train-049625,0.29999977350234985
aqua,aqua-validation-000006,test,retrieved,target_0.50,0.5,aqua-train-016872,0.5000104308128357
aqua,aqua-validation-000006,test,retrieved,target_0.70,0.7,aqua-train-036242,0.6998635530471802
aqua,aqua-validation-000006,test,retrieved,top,,aqua-train-083860,0.854163408279419
aqua,aqua-validation-000006,test,placebo,placebo,,aqua-train-009885,0.1554960012435913
aqua,aqua-validation-000007,calibration,retrieved,target_0.30,0.3,aqua-train-055721,0.3000001907348633
aqua,aqua-validation-000007,calibration,retrieved,target_0.50,0.5,aqua-train-027448,0.499962717294693
aqua,aqua-validation-000007,calibration,retrieved,target_0.70,0.7,aqua-train-014883,0.6814120411872864
aqua,aqua-validation-000007,calibration,retrieved,top,,aqua-train-033758,0.6865667700767517
aqua,aqua-validation-000007,calibration,placebo,placebo,,aqua-train-021609,0.16145700216293335
aqua,aqua-validation-000008,calibration,retrieved,target_0.30,0.3,aqua-train-091633,0.3000052273273468
aqua,aqua-validation-000008,calibration,retrieved,target_0.50,0.5,aqua-train-046361,0.500042736530304
aqua,aqua-validation-000008,calibration,retrieved,target_0.70,0.7,aqua-train-005516,0.7013997435569763
aqua,aqua-validation-000008,calibration,retrieved,top,,aqua-train-016594,0.7502414584159851
aqua,aqua-validation-000008,calibration,placebo,placebo,,aqua-train-019850,0.13275787234306335
aqua,aqua-validation-000009,calibration,retrieved,target_0.30,0.3,aqua-train-087107,0.30000099539756775
aqua,aqua-validation-000009,calibration,retrieved,target_0.50,0.5,aqua-train-092385,0.49998027086257935
aqua,aqua-validation-000009,calibration,retrieved,target_0.70,0.7,aqua-train-030957,0.7012244462966919
aqua,aqua-validation-000009,calibration,retrieved,top,,aqua-train-043442,0.7839357256889343
aqua,aqua-validation-000009,calibration,placebo,placebo,,aqua-train-024120,0.06396225839853287
aqua,aqua-validation-000010,calibration,retrieved,target_0.30,0.3,aqua-train-033080,0.3000012934207916
aqua,aqua-validation-000010,calibration,retrieved,target_0.50,0.5,aqua-train-083365,0.5000013113021851
aqua,aqua-validation-000010,calibration,retrieved,target_0.70,0.7,aqua-train-004420,0.7004449367523193
aqua,aqua-validation-000010,calibration,retrieved,top,,aqua-train-070859,0.7324208617210388
aqua,aqua-validation-000010,calibration,placebo,placebo,,aqua-train-003281,0.1558643877506256
aqua,aqua-validation-000011,calibration,retrieved,target_0.30,0.3,aqua-train-056481,0.30000030994415283
aqua,aqua-validation-000011,calibration,retrieved,target_0.50,0.5,aqua-train-083582,0.4998002052307129
aqua,aqua-validation-000011,calibration,retrieved,target_0.70,0.7,aqua-train-027482,0.6296079754829407
aqua,aqua-validation-000011,calibration,retrieved,top,,aqua-train-029716,0.6381428241729736
aqua,aqua-validation-000011,calibration,placebo,placebo,,aqua-train-008695,0.1287737637758255
aqua,aqua-validation-000012,calibration,retrieved,target_0.30,0.3,aqua-train-078341,0.29999813437461853
aqua,aqua-validation-000012,calibration,retrieved,target_0.50,0.5,aqua-train-058229,0.5000028610229492
