model,dataset,depth,arm,level,transition,n
mistral-7b,aqua,complex,placebo,placebo,harmed,29
mistral-7b,aqua,complex,placebo,placebo,helped,37
mistral-7b,aqua,complex,placebo,placebo,unchanged,186
mistral-7b,aqua,complex,retrieved,target_0.30,harmed,29
mistral-7b,aqua,complex,retrieved,target_0.30,helped,35
mistral-7b,aqua,complex,retrieved,target_0.30,unchanged,188
mistral-7b,aqua,complex,retrieved,target_0.50,harmed,32
mistral-7b,aqua,complex,retrieved,target_0.50,helped,33
mistral-7b,aqua,complex,retrieved,target_0.50,unchanged,187
mistral-7b,aqua,complex,retrieved,target_0.70,harmed,28
mistral-7b,aqua,complex,retrieved,target_0.70,helped,26
mistral-7b,aqua,complex,retrieved,target_0.70,unchanged,198
mistral-7b,aqua,complex,retrieved,top,harmed,27
mistral-7b,aqua,complex,retrieved,top,helped,25
mistral-7b,aqua,complex,retrieved,top,unchanged,200
mistral-7b,aqua,simple,placebo,placebo,harmed,26
mistral-7b,aqua,simple,placebo,placebo,helped,31
mistral-7b,aqua,simple,placebo,placebo,unchanged,195
mistral-7b,aqua,simple,retrieved,target_0.30,harmed,28
mistral-7b,aqua,simple,retrieved,target_0.30,helped,28
mistral-7b,aqua,simple,retrieved,target_0.30,unchanged,195
mistral-7b,aqua,simple,retrieved,target_0.50,harmed,28
mistral-7b,aqua,simple,retrieved,target_0.50,helped,27
mistral-7b,aqua,simple,retrieved,target_0.50,unchanged,197
mistral-7b,aqua,simple,retrieved,target_0.70,harmed,27
mistral-7b,aqua,simple,retrieved,target_0.70,helped,15
mistral-7b,aqua,simple,retrieved,target_0.70,unchanged,210
mistral-7b,aqua,simple,retrieved,top,harmed,23
mistral-7b,aqua,simple,retrieved,top,helped,22
mistral-7b,aqua,simple,retrieved,top,unchanged,207
mistral-7b,arc,complex,placebo,placebo,harmed,18
mistral-7b,arc,complex,placebo,placebo,helped,14
mistral-7b,arc,complex,placebo,placebo,unchanged,266
mistral-7b,arc,complex,retrieved,target_0.30,harmed,25
mistral-7b,arc,complex,retrieved,target_0.30,helped,21
mistral-7b,arc,complex,retrieved,target_0.30,unchanged,252
mistral-7b,arc,complex,retrieved,target_0.50,harmed,35
mistral-7b,arc,complex,retrieved,target_0.50,helped,17
mistral-7b,arc,complex,retrieved,target_0.50,unchanged,246
mistral-7b,arc,complex,retrieved,target_0.70,harmed,39
mistral-7b,arc,complex,retrieved,target_0.70,helped,20
mistral-7b,arc,complex,retrieved,target_0.70,unchanged,239
mistral-7b,arc,complex,retrieved,top,harmed,37
mistral-7b,arc,complex,retrieved,top,helped,23
mistral-7b,arc,complex,retrieved,top,unchanged,238
mistral-7b,arc,simple,placebo,placebo,harmed,31
mistral-7b,arc,simple,placebo,placebo,helped,11
mistral-7b,arc,simple,placebo,placebo,unchanged,256
mistral-7b,arc,simple,retrieved,target_0.30,harmed,29
mistral-7b,arc,simple,retrieved,target_0.30,helped,16
mistral-7b,arc,simple,retrieved,target_0.30,unchanged,253
mistral-7b,arc,simple,retrieved,target_0.50,harmed,35
mistral-7b,arc,simple,retrieved,target_0.50,helped,13
mistral-7b,arc,simple,retrieved,target_0.50,unchanged,250
mistral-7b,arc,simple,retrieved,target_0.70,harmed,41
mistral-7b,arc,simple,retrieved,target_0.70,helped,20
mistral-7b,arc,simple,retrieved,target_0.70,unchanged,237
mistral-7b,arc,simple,retrieved,top,harmed,41
mistral-7b,arc,simple,retrieved,top,helped,25
mistral-7b,arc,simple,retrieved,top,unchanged,232
mistral-7b,gsm8k,complex,placebo,placebo,harmed,103
mistral-7b,gsm8k,complex,placebo,placebo,helped,125
mistral-7b,gsm8k,complex,placebo,placebo,unchanged,772
mistral-7b,gsm8k,complex,retrieved,target_0.30,harmed,105
mistral-7b,gsm8k,complex,retrieved,target_0.30,helped,118
mistral-7b,gsm8k,complex,retrieved,target_0.30,unchanged,777
mistral-7b,gsm8k,complex,retrieved,target_0.50,harmed,96
mistral-7b,gsm8k,complex,retrieved,target_0.50,helped,105
mistral-7b,gsm8k,complex,retrieved,target_0.50,unchanged,799
mistral-7b,gsm8k,complex,retrieved,target_0.70,harmed,88
mistral-7b,gsm8k,complex,retrieved,target_0.70,helped,98
mistral-7b,gsm8k,complex,retrieved,target_0.70,unchanged,814
mistral-7b,gsm8k,complex,retrieved,top,harmed,102
mistral-7b,gsm8k,complex,retrieved,top,helped,98
mistral-7b,gsm8k,complex,retrieved,top,unchanged,800
mistral-7b,gsm8k,simple,placebo,placebo,harmed,96
mistral-7b,gsm8k,simple,placebo,placebo,helped,92
mistral-7b,gsm8k,simple,placebo,placebo,unchanged,812
mistral-7b,gsm8k,simple,retrieved,target_0.30,harmed,89
mistral-7b,gsm8k,simple,retrieved,target_0.30,helped,90
mistral-7b,gsm8k,simple,retrieved,target_0.30,unchanged,821
mistral-7b,gsm8k,simple,retrieved,target_0.50,harmed,86
mistral-7b,gsm8k,simple,retrieved,target_0.50,helped,79
mistral-7b,gsm8k,simple,retrieved,target_0.50,unchanged,835
mistral-7b,gsm8k,simple,retrieved,target_0.70,harmed,84
mistral-7b,gsm8k,simple,retrieved,target_0.70,helped,82
mistral-7b,gsm8k,simple,retrieved,target_0.70,unchanged,834
mistral-7b,gsm8k,simple,retrieved,top,harmed,96
mistral-7b,gsm8k,simple,retrieved,top,helped,86
mistral-7b,gsm8k,simple,retrieved,top,unchanged,818
mistral-7b,logiqa2,complex,placebo,placebo,harmed,147
mistral-7b,logiqa2,complex,placebo,placebo,helped,86
mistral-7b,logiqa2,complex,placebo,placebo,unchanged,1318
mistral-7b,logiqa2,complex,retrieved,target_0.30,harmed,144
