model,dataset,val_uid,source_uid,analysis_split,depth,arm,level,requested_similarity,similarity,source_correct,baseline_correct,memory_correct,delta,baseline_eval_method,memory_eval_method,source_eval_method
phi4-mini,aqua,aqua-validation-000000,aqua-train-020831,test,simple,retrieved,target_0.30,0.3,0.2999999225139618,False,False,False,0.0,judge_fallback,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000000,aqua-train-058223,test,simple,retrieved,target_0.50,0.5,0.5000181198120117,True,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000000,aqua-train-046559,test,simple,retrieved,target_0.70,0.7,0.7070861458778381,False,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000000,aqua-train-029712,test,simple,retrieved,top,,0.7460883259773254,False,False,False,0.0,judge_fallback,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000000,aqua-train-013374,test,simple,placebo,placebo,,0.172318696975708,False,False,False,0.0,judge_fallback,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000001,aqua-train-051257,calibration,simple,retrieved,target_0.30,0.3,0.29999715089797974,True,False,False,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000001,aqua-train-056580,calibration,simple,retrieved,target_0.50,0.5,0.4999981224536896,True,False,False,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000001,aqua-train-007726,calibration,simple,retrieved,target_0.70,0.7,0.6488675475120544,True,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000001,aqua-train-034290,calibration,simple,retrieved,top,,0.6584699749946594,True,False,True,1.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000001,aqua-train-083667,calibration,simple,placebo,placebo,,0.08244269341230392,False,False,False,0.0,parser,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000002,aqua-train-023478,test,simple,retrieved,target_0.30,0.3,0.299999475479126,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000002,aqua-train-044732,test,simple,retrieved,target_0.50,0.5,0.5000198483467102,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000002,aqua-train-008045,test,simple,retrieved,target_0.70,0.7,0.7011856436729431,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000002,aqua-train-025215,test,simple,placebo,placebo,,0.19984866678714752,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000003,aqua-train-087164,calibration,simple,retrieved,target_0.30,0.3,0.30001193284988403,False,True,True,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000003,aqua-train-020974,calibration,simple,retrieved,target_0.50,0.5,0.49997255206108093,False,True,True,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000003,aqua-train-019678,calibration,simple,retrieved,target_0.70,0.7,0.6992068290710449,True,True,True,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000003,aqua-train-021714,calibration,simple,retrieved,top,,0.7717718482017517,True,True,True,0.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000003,aqua-train-064116,calibration,simple,placebo,placebo,,-0.0024949838407337666,True,True,False,-1.0,judge_fallback,judge_fallback,parser
phi4-mini,aqua,aqua-validation-000004,aqua-train-047221,test,simple,retrieved,target_0.30,0.3,0.30000028014183044,False,True,False,-1.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000004,aqua-train-033692,test,simple,retrieved,target_0.50,0.5,0.49993056058883667,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000004,aqua-train-063763,test,simple,retrieved,target_0.70,0.7,0.6023858189582825,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000004,aqua-train-029461,test,simple,retrieved,top,,0.6076700687408447,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000004,aqua-train-079346,test,simple,placebo,placebo,,0.13467219471931458,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000005,aqua-train-029171,calibration,simple,retrieved,target_0.30,0.3,0.30000030994415283,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000005,aqua-train-006792,calibration,simple,retrieved,target_0.50,0.5,0.4999702572822571,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000005,aqua-train-030859,calibration,simple,retrieved,target_0.70,0.7,0.7023617625236511,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000005,aqua-train-095307,calibration,simple,retrieved,top,,0.7703220248222351,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000005,aqua-train-017295,calibration,simple,placebo,placebo,,0.12101635336875916,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000006,aqua-train-049625,test,simple,retrieved,target_0.30,0.3,0.29999977350234985,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000006,aqua-train-016872,test,simple,retrieved,target_0.50,0.5,0.5000104308128357,False,True,True,0.0,parser,parser,judge_fallback
phi4-mini,aqua,aqua-validation-000006,aqua-train-036242,test,simple,retrieved,target_0.70,0.7,0.6998635530471802,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000006,aqua-train-083860,test,simple,retrieved,top,,0.854163408279419,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000006,aqua-train-009885,test,simple,placebo,placebo,,0.1554960012435913,True,True,True,0.0,parser,parser,parser
phi4-mini,aqua,aqua-validation-000007,aqua-train-055721,calibration,simple,retrieved,target_0.30,0.3,0.3000001907348633,False,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000007,aqua-train-014883,calibration,simple,retrieved,target_0.70,0.7,0.6814120411872864,True,False,False,0.0,judge_fallback,parser,parser
phi4-mini,aqua,aqua-validation-000007,aqua-train-033758,calibration,simple,retrieved,top,,0.6865667700767517,False,False,False,0.0,judge_fallback,judge_fallback,judge_fallback
phi4-mini,aqua,aqua-validation-000007,aqua-train-021609,calibration,simple,placebo,placebo,,0.16145700216293335,True,False,False,0.0,judge_fallback,judge_fallback,parser
